generation,s-type,s-value, isActive
24,4,0.000000,1
24,5,0.072910,1
24,6,0.000000,1
24,7,0.000000,1
24,1,0.044976,1
24,2,0.233988,0
24,3,0.057390,1
24,4,0.000000,1
24,5,0.072910,1
24,6,0.000000,1
24,7,0.000000,1
24,1,0.044976,1
24,2,0.233988,0
24,3,0.057390,1
24,4,0.000000,1
24,5,0.072910,1
24,6,0.000000,1
24,7,0.000000,1
25,1,0.044976,1
25,2,0.233988,0
25,3,0.057390,1
25,4,0.000000,1
25,5,0.072910,1
25,6,0.000000,1
25,7,0.000000,1
25,1,0.044976,1
25,2,0.233988,0
25,3,0.057390,1
25,4,0.000000,1
25,5,0.072910,1
25,6,0.000000,1
25,7,0.000000,1
25,1,0.044976,1
25,2,0.233988,0
25,3,0.057390,1
25,4,0.000000,1
25,5,0.072910,1
25,6,0.000000,1
25,7,0.000000,1
25,1,0.044976,1
25,2,0.233988,0
25,3,0.057390,1
25,4,0.000000,1
25,5,0.072910,1
25,6,0.000000,1
25,7,0.000000,1
26,1,0.044976,1
26,2,0.233988,0
26,3,0.057390,1
26,4,0.000000,1
26,5,0.072910,1
26,6,0.000000,1
26,7,0.000000,1
26,1,0.044976,1
26,2,0.233988,0
26,3,0.057390,1
26,4,0.000000,1
26,5,0.072910,1
26,6,0.000000,1
26,7,0.000000,1
26,1,0.044976,1
26,2,0.233988,0
26,3,0.057390,1
26,4,0.000000,1
26,5,0.072910,1
26,6,0.000000,1
26,7,0.000000,1
26,1,0.044976,1
26,2,0.233988,0
26,3,0.057390,1
26,4,0.000000,1
26,5,0.072910,1
26,6,0.000000,1
26,7,0.000000,1
27,1,0.044976,1
27,2,0.233988,0
27,3,0.057390,1
27,4,0.000000,1
27,5,0.072910,1
27,6,0.000000,1
27,7,0.000000,1
27,1,0.044976,1
27,2,0.233988,0
27,3,0.057390,1
27,4,0.000000,1
27,5,0.072910,1
27,6,0.000000,1
27,7,0.000000,1
27,1,0.044976,1
27,2,0.233988,0
27,3,0.057390,1
27,4,0.000000,1
27,5,0.072910,1
27,6,0.000000,1
27,7,0.000000,1
27,1,0.044976,1
27,2,0.233988,0
27,3,0.057390,1
27,4,0.000000,1
27,5,0.072910,1
27,6,0.000000,1
27,7,0.000000,1
28,1,0.044976,1
28,2,0.233988,0
28,3,0.057390,1
28,4,0.000000,1
28,5,0.011835,1
28,6,0.000000,1
28,7,0.000000,1
28,1,0.044976,1
28,2,0.233988,0
28,3,0.057390,1
28,4,0.000000,1
28,5,0.011835,1
28,6,0.000000,1
28,7,0.000000,1
28,1,0.044976,1
28,2,0.233988,0
28,3,0.057390,1
28,4,0.000000,1
28,5,0.011835,1
28,6,0.000000,1
28,7,0.000000,1
28,1,0.044976,1
28,2,0.233988,0
28,3,0.057390,1
28,4,0.000000,1
28,5,0.011835,1
28,6,0.000000,1
28,7,0.000000,1
29,1,0.044976,1
29,2,0.233988,0
29,3,0.057390,1
29,4,0.000000,1
29,5,0.011835,1
29,6,0.000000,1
29,7,0.000000,1
29,1,0.044976,1
29,2,0.233988,0
29,3,0.057390,1
29,4,0.000000,1
29,5,0.011835,1
29,6,0.000000,1
29,7,0.000000,1
29,1,0.044976,1
29,2,0.233988,0
29,3,0.057390,1
29,4,0.000000,1
29,5,0.011835,1
29,6,0.000000,1
29,7,0.000000,1
29,1,0.044976,1
29,2,0.233988,0
29,3,0.057390,1
29,4,0.000000,1
29,5,0.011835,1
29,6,0.000000,1
29,7,0.000000,1
30,1,0.007742,1
30,2,0.233988,0
30,3,0.057390,1
30,4,0.000000,1
30,5,0.011835,1
30,6,0.000000,1
30,7,0.000000,1
30,1,0.007742,1
30,2,0.233988,0
30,3,0.057390,1
30,4,0.000000,1
30,5,0.011835,1
30,6,0.000000,1
30,7,0.000000,1
30,1,0.007742,1
30,2,0.233988,0
30,3,0.057390,1
30,4,0.000000,1
30,5,0.011835,1
30,6,0.000000,1
30,7,0.000000,1
30,1,0.007742,1
30,2,0.233988,0
30,3,0.057390,1
30,4,0.000000,1
30,5,0.011835,1
30,6,0.000000,1
30,7,0.000000,1
31,1,0.007742,1
31,2,0.233988,0
31,3,0.057390,1
31,4,0.000000,1
